First Name	Last Name	Date of Birth	Email	Identification Number	Password	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance	Credit Max
Kaa	Disney	"August 18, 1945"	KaaDisney@disney.com	28	Password77	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1027	2027	3027	1998.96	375.34	-286.82	6186
Pinocchio	Disney	"September 5, 1937"	PinocchioDisney@disney.com	30	Password79	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1029	2029	3029	693.53	2557.87	-365.78	9957
Quasimodo	Disney	"November 6, 1955"	QuasimodoDisney@disney.com	32	Password81	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1031	2031	3031	1429.14	611.79	-212.66	7363
Hercules	Disney	"July 9, 1953"	HerculesDisney@disney.com	33	Password82	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1032	2032	3032	261.00	871.85	-542.87	6062
Mulan	Disney	"October 24, 1986"	MulanDisney@disney.com	34	Password83	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1033	2033	3033	1437.51	4674.15	-1141.98	3434
Lilo	Disney	"November 8, 1953"	LiloDisney@disney.com	35	Password84	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1034	2034	3034	238.26	1596.40	-121.91	4558
Stitch	Disney	"October 30, 2006"	StitchDisney@disney.com	36	Password85	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1035	2035	3035	832.75	4364.56	-735.47	8092
Pete	Disney	"March 1, 1946"	PeteDisney@disney.com	91	Password140	"529 W. University Ave, El Paso, TX 79968"	(915) 747-5029	1090	2090	3090	505.91	4771.34	-2000.90	5383
Walt	Disney	"October 29, 1977"	WaltDisney@disney.com	97	Password146	"535 W. University Ave, El Paso, TX 79968"	(915) 747-5035	1096	2096	3096	340.36	2524.42	-1161.64	9156
Roy	Disney	"May 17, 1938"	RoyDisney@disney.com	98	Password147	"536 W. University Ave, El Paso, TX 79968"	(915) 747-5036	1097	2097	3097	1939.72	2600.15	-144.24	4394
Hugo	Dominguez	"December 24, 1940"	HugoDominguez@disney.com	46	Password95	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1045	2045	3045	738.46	1538.66	-873.40	8768
Donald	Duck	"June 19, 1952"	DonaldDuck@disney.com	2	Password51	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1001	2001	3001	361.10	1340.10	-643.52	3764
Daniel	E	"July 28, 1983"	DanielE@disney.com	67	Password116	"505 W. University Ave, El Paso, TX 79968"	(915) 747-5005	1066	2066	3066	1217.32	3084.32	-1829.52	9095
Dumbo	Elephant	"July 11, 1997"	DumboElephant@disney.com	96	Password145	"534 W. University Ave, El Paso, TX 79968"	(915) 747-5034	1095	2095	3095	1378.12	683.45	-1235.48	8406
Prince	Eric	"January 26, 2007"	PrinceEric@disney.com	31	Password80	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1030	2030	3030	1054.17	3236.04	-867.74	7263
Daniel	F	"June 8, 1963"	DanielF@disney.com	68	Password117	"506 W. University Ave, El Paso, TX 79968"	(915) 747-5006	1067	2067	3067	1556.48	3814.64	-907.34	5657
Seth	Flores	"November 7, 1976"	SethFlores@disney.com	47	Password96	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1046	2046	3046	483.20	1109.16	-1145.95	9573
Daniel	G	"January 3, 1980"	DanielG@disney.com	69	Password118	"507 W. University Ave, El Paso, TX 79968"	(915) 747-5007	1068	2068	3068	236.32	1451.79	-1426.89	3826
Daniel	H	"December 14, 1996"	DanielH@disney.com	70	Password119	"508 W. University Ave, El Paso, TX 79968"	(915) 747-5008	1069	2069	3069	840.05	1014.45	-1984.40	4646
Anthony	Herrera	"December 4, 1993"	AnthonyHerrera@disney.com	48	Password97	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1047	2047	3047	852.59	2082.11	-1500.11	5856
Captain	Hook	"January 6, 1944"	CaptainHook@disney.com	27	Password76	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1026	2026	3026	1633.77	1170.74	-1242.81	4558
Daniel	I	"October 21, 1990"	DanielI@disney.com	71	Password120	"509 W. University Ave, El Paso, TX 79968"	(915) 747-5009	1070	2070	3070	256.35	718.11	-1151.15	9329
Juan	Isasi	"August 26, 2013"	JuanIsasi@disney.com	49	Password98	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1048	2048	3048	175.36	4171.21	-1021.39	6544
Daniel	J	"August 23, 1963"	DanielJ@disney.com	72	Password121	"510 W. University Ave, El Paso, TX 79968"	(915) 747-5010	1071	2071	3071	1586.54	505.41	-149.84	9008
Yoda	Jedi	"April 18, 1994"	YodaJedi@disney.com	103	Password152	"541 W. University Ave, El Paso, TX 79968"	(915) 747-5041	1102	2102	3102	54.67	851.61	-1398.05	3618
Daniel	K	"March 26, 2005"	DanielK@disney.com	73	Password122	"511 W. University Ave, El Paso, TX 79968"	(915) 747-5011	1072	2072	3072	1395.87	1344.08	-1064.37	9612
Obi	Kenobi	"December 6, 1992"	ObiKenobi@disney.com	102	Password151	"540 W. University Ave, El Paso, TX 79968"	(915) 747-5040	1101	2101	3101	646.60	1181.04	-662.53	5219
Shere	Khan	"November 25, 1948"	ShereKhan@disney.com	26	Password75	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1025	2025	3025	1954.23	2271.46	-1945.44	4358
Simba	King	"November 3, 1974"	SimbaKing@disney.com	24	Password73	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1023	2023	3023	283.01	4563.47	-2000.57	9373
Daniel	L	"December 17, 1956"	DanielL@disney.com	74	Password123	"512 W. University Ave, El Paso, TX 79968"	(915) 747-5012	1073	2073	3073	1567.82	1646.27	-1056.41	6025
Buzz	Lightyear	"February 12, 2015"	BuzzLightyear@disney.com	17	Password66	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1016	2016	3016	1261.22	998.80	-502.43	6136
Scar	Lion	"February 6, 1988"	ScarLion@disney.com	23	Password72	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1022	2022	3022	1746.93	2924.99	-419.70	6440
Valeria	Macias	"August 23, 1980"	ValeriaMacias@disney.com	50	Password99	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1049	2049	3049	1799.33	794.45	-1280.08	9126
Iron	Man	"May 20, 1945"	IronMan@disney.com	90	Password139	"528 W. University Ave, El Paso, TX 79968"	(915) 747-5028	1089	2089	3089	1825.05	3004.66	-1075.42	4380
Ana	Mata Sanchez	"September 29, 1945"	AnaMata Sanchez@disney.com	51	Password100	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1050	2050	3050	730.52	1445.42	-1399.14	7445
Daniel	Mejia	"July 23, 1989"	DanielMejia@disney.com	62	Password111	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1061	2061	3061	832.02	4746.99	-19.56	3824
Ursela	Mermaid	"September 9, 2006"	UrselaMermaid@disney.com	19	Password68	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1018	2018	3018	438.85	212.18	-348.54	9424
Bryan	Molina	"December 4, 1984"	BryanMolina@disney.com	52	Password101	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1051	2051	3051	1286.64	2293.47	-341.37	3375
Mickey	Mouse	"July 15, 1936"	MickeyMouse@disney.com	1	Password50	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1000	2000	3000	70.61	1727.13	-124.06	7745
Minnie	Mouse	"December 31, 1970"	MinnieMouse@disney.com	3	Password52	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1002	2002	3002	567.68	1345.50	-1725.48	3850
Daniel	N	"December 1, 1951"	DanielN@disney.com	75	Password124	"513 W. University Ave, El Paso, TX 79968"	(915) 747-5013	1074	2074	3074	314.68	3580.15	-470.42	6943
Ericka	Najera	"September 27, 2018"	ErickaNajera@disney.com	53	Password102	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1052	2052	3052	1545.25	3761.82	-732.19	7205
Daniel	O	"January 7, 1989"	DanielO@disney.com	76	Password125	"514 W. University Ave, El Paso, TX 79968"	(915) 747-5014	1075	2075	3075	616.66	4133.25	-428.47	6090
Daniel	P	"February 21, 2012"	DanielP@disney.com	77	Password126	"515 W. University Ave, El Paso, TX 79968"	(915) 747-5015	1076	2076	3076	810.38	4393.01	-673.87	9864
Cesar	Padron	"May 6, 1982"	CesarPadron@disney.com	54	Password103	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1053	2053	3053	1125.84	188.04	-218.33	6612
Peter	Pan	"July 6, 1932"	PeterPan@disney.com	15	Password64	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1014	2014	3014	1274.17	1640.57	-684.41	6176
Peter	Parker	"February 8, 2019"	PeterParker@disney.com	89	Password138	"527 W. University Ave, El Paso, TX 79968"	(915) 747-5027	1088	2088	3088	866.02	2334.55	-1850.27	4164
Ricardo	Pena	"June 8, 1954"	RicardoPena@disney.com	55	Password104	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1054	2054	3054	1140.27	1283.37	-829.69	6126
Winnie	Pooh	"February 27, 1958"	WinniePooh@disney.com	93	Password142	"531 W. University Ave, El Paso, TX 79968"	(915) 747-5031	1092	2092	3092	817.15	78.80	-199.02	7278
Tigger	Pooh	"December 26, 2007"	TiggerPooh@disney.com	94	Password143	"532 W. University Ave, El Paso, TX 79968"	(915) 747-5032	1093	2093	3093	646.96	3529.38	-1589.66	8453
Piglet	Pooh	"August 30, 1995"	PigletPooh@disney.com	95	Password144	"533 W. University Ave, El Paso, TX 79968"	(915) 747-5033	1094	2094	3094	1188.84	2669.21	-1507.86	4088
Daniel	Q	"March 26, 2018"	DanielQ@disney.com	78	Password127	"516 W. University Ave, El Paso, TX 79968"	(915) 747-5016	1077	2077	3077	896.23	3103.19	-1825.78	4952
Evil	Queen	"June 15, 2002"	EvilQueen@disney.com	29	Password78	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1028	2028	3028	1269.81	247.87	-1318.98	9192
Rigoberto	Quiroz	"December 28, 1948"	RigobertoQuiroz@disney.com	56	Password105	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1055	2055	3055	1031.99	2260.16	-457.97	9081
Daniel	R	"May 11, 1996"	DanielR@disney.com	79	Password128	"517 W. University Ave, El Paso, TX 79968"	(915) 747-5017	1078	2078	3078	444.85	1523.55	-913.08	4473
Kevin	Ramirez	"February 28, 1960"	KevinRamirez@disney.com	57	Password106	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1056	2056	3056	1163.60	3083.92	-524.58	5681
Joshua	Ramos	"August 3, 1945"	JoshuaRamos@disney.com	58	Password107	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1057	2057	3057	1723.32	2183.96	-1908.86	5982
Lewis	Roe	"February 4, 1978"	LewisRoe@disney.com	59	Password108	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1058	2058	3058	941.62	2344.21	-1160.97	7729
Laila	Romero	"January 26, 1930"	LailaRomero@disney.com	60	Password109	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1059	2059	3059	1429.92	3097.40	-952.55	9072
Daniel	S	"November 12, 1960"	DanielS@disney.com	80	Password129	"518 W. University Ave, El Paso, TX 79968"	(915) 747-5018	1079	2079	3079	220.34	1819.94	-838.93	9474
Anakin	Skywalker	"April 7, 1978"	AnakinSkywalker@disney.com	101	Password150	"539 W. University Ave, El Paso, TX 79968"	(915) 747-5039	1100	2100	3100	1266.59	3447.18	-211.38	9602
Daniel	T	"November 11, 1936"	DanielT@disney.com	81	Password130	"519 W. University Ave, El Paso, TX 79968"	(915) 747-5019	1080	2080	3080	1825.39	3870.06	-1878.82	4729
Paola	Terrazas	"October 28, 1971"	PaolaTerrazas@disney.com	61	Password110	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1060	2060	3060	1339.11	1539.24	-1514.97	6982
Daniel	U	"August 23, 2007"	DanielU@disney.com	82	Password131	"520 W. University Ave, El Paso, TX 79968"	(915) 747-5020	1081	2081	3081	739.20	2644.21	-555.60	9011
Daniel	V	"February 13, 1965"	DanielV@disney.com	83	Password132	"521 W. University Ave, El Paso, TX 79968"	(915) 747-5021	1082	2082	3082	1856.93	48.10	-898.45	7715
Daniel	W	"May 11, 1980"	DanielW@disney.com	84	Password133	"522 W. University Ave, El Paso, TX 79968"	(915) 747-5022	1083	2083	3083	1651.57	1499.47	-1141.87	3664
Daniel	X	"February 10, 1966"	DanielX@disney.com	85	Password134	"523 W. University Ave, El Paso, TX 79968"	(915) 747-5023	1084	2084	3084	862.83	4045.63	-1531.84	4938
Daniel	Y	"May 12, 1994"	DanielY@disney.com	86	Password135	"524 W. University Ave, El Paso, TX 79968"	(915) 747-5024	1085	2085	3085	1089.88	1037.77	-1780.81	9611
Daniel	Z	"May 5, 1957"	DanielZ@disney.com	87	Password136	"525 W. University Ave, El Paso, TX 79968"	(915) 747-5025	1086	2086	3086	1794.00	1742.28	-1047.35	6615
